Item name,Count
Black Assam Tea,4.8
Cafe Latte,10.2
Cafe Mocha,7.8
Cappuccino,48.6
Captain Cold Mocha,17.4
Caremelcino,0.4
Coke Can (300 Ml),12.0
Coke Zero Can,25.0
Cold Caramel Coffee,21.4
Cold Coffee,133.2
Diet Coke Can,53.4
Double Eye Opener,9.4
Fanta Can,35.0
Filter Coffee,22.6
Glass of Coke,142.6
Glass of Sprite,37.8
Green Tea,12.6
Iced Coffee(Black hot Coffee With Ice),32.8
Lemon Iced Tea,95.0
Masala Chaas,21.2
Masala Chai,122.4
Monster Energy Drink,11.0
Naughty Nutella Latte,6.6
Peach Iced Tea,84.6
Red Bull Green Dragon Fruit,16.8
Red Bull Regular,32.2
Red Bull Yellow Tropical Fruit,7.2
Shikanji,21.4
Single Eye Opener,4.4
Sprite Can (300 ml),2.2
Sweet Lassi,4.8
Thumbs Up  Can - 300 ml,58.0
Water Bottle,69.4
