Item name,Weekdays,Weekend
Cafe Mocha,7.8,3
Cappuccino,48.6,3
Captain Cold Mocha,17.4,7
Coke Zero Can,25.0,20
Cold Caramel Coffee,21.4,5
Cold Coffee,133.2,50
Diet Coke Can,53.4,2
Double Eye Opener,9.4,3
Fanta Can,35.0,16
Filter Coffee,22.6,2
Glass of Coke,142.6,43
Glass of Sprite,37.8,15
Green Tea,12.6,1
Iced Coffee(Black hot Coffee With Ice),32.8,10
Lemon Iced Tea,95.0,23
Masala Chaas,21.2,1
Masala Chai,122.4,26
Monster Energy Drink,11.0,3
Naughty Nutella Latte,6.6,3
Peach Iced Tea,84.6,18
Red Bull Green Dragon Fruit,16.8,2
Red Bull Regular,32.2,13
Red Bull Yellow Tropical Fruit,7.2,4
Shikanji,21.4,5
Sweet Lassi,4.8,3
Thumbs Up  Can - 300 ml,58.0,25
Water Bottle,69.4,22
