Item name,Weekdays,Weekend
Cafe Latte,13.6,1
Cafe Mocha,8.2,7
Cappuccino,21.4,13
Captain Cold Mocha,1.2,1
Caremelcino,5.2,4
Coke Can (300 Ml),15.8,10
Coke Zero Can,7.6,6
Cold Coffee,40.4,14
Diet Coke Can,47.0,13
Double Eye Opener,2.6,1
Fanta Can,10.4,2
Filter Coffee,4.6,3
Glass of Coke,90.8,30
Green Tea,5.8,2
Iced Coffee(Black hot Coffee With Ice),1.8,1
Lemon Iced Tea,24.8,6
Limca Can (300 ml),19.6,13
Masala Chaas,29.6,3
Masala Chai,27.8,16
Monster Energy Drink,3.4,1
Peach Iced Tea,24.0,7
Red Bull Green Dragon Fruit,4.8,5
Red Bull Regular,10.0,5
Red Bull Yellow Tropical Fruit,1.0,2
Shikanji,0.4,3
Single Eye Opener,1.4,1
Sprite Can (300 ml),33.6,11
Sweet Lassi,14.4,3
Thumbs Up  Can - 300 ml,49.0,24
Water Bottle,33.8,21
