Item name,Weekdays,Weekend
Cafe Latte,18.4,11
Cafe Mocha,11.0,8
Cappuccino,60.2,25
Captain Cold Mocha,51.0,16
Caremelcino,11.6,9
Coke Zero Can,29.2,3
Cold Caramel Coffee,35.2,9
Cold Coffee,83.2,19
Diet Coke Can,76.0,26
Double Eye Opener,9.0,2
Fanta Can,34.4,13
Filter Coffee,18.4,7
Glass of Coke,295.4,107
Glass of Sprite,30.6,20
Green Tea,8.0,3
Iced Coffee(Black hot Coffee With Ice),17.4,3
Lemon Iced Tea,74.2,13
Limca Can (300 ml),42.2,9
Masala Chaas,72.8,16
Masala Chai,106.6,21
Monster Energy Drink,13.0,5
Monster Ultra Zero Sugar,13.8,3
Peach Iced Tea,49.4,16
Red Bull Green Dragon Fruit,16.2,7
Red Bull Regular,37.8,13
Red Bull Yellow Tropical Fruit,3.2,1
Sprite Can (300 ml),49.8,7
Sweet Lassi,41.6,5
Thumbs Up  Can - 300 ml,120.8,30
Water Bottle,103.0,30
